student_id,school_type,school_major_detail,initial_choice_program,recommended_top1_program,recommended_top1_program_id,recommended_top1_score,recommended_top3_programs,recommended_top5_programs,alignment_status,advisory_message,generator_version
STU-000001,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Ilmu Hukum,Ilmu Hukum,PRG2-022,0.913,Ilmu Hukum|Sistem Informasi|Manajemen,Ilmu Hukum|Sistem Informasi|Manajemen|Teknik Industri|Akuntansi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000002,SMK,Farmasi Klinis dan Komunitas,Pendidikan Bahasa Inggris,Pendidikan Bahasa Inggris,PRG2-025,0.919,Pendidikan Bahasa Inggris|Kesehatan Masyarakat|Keperawatan,Pendidikan Bahasa Inggris|Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000003,SMK,Akuntansi dan Keuangan Lembaga,Akuntansi,Akuntansi,PRG2-027,0.803,Akuntansi|Agribisnis|Manajemen,Akuntansi|Agribisnis|Manajemen|Statistika|Teknik Informatika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000004,SMA,IPS/Soshum,Farmasi,Kesehatan Masyarakat,PRG2-018,0.768,Kesehatan Masyarakat|Psikologi|Pendidikan Bahasa Inggris,Kesehatan Masyarakat|Psikologi|Pendidikan Bahasa Inggris|Keperawatan|Ilmu Gizi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000005,SMA,Pilihan Campuran Kurikulum Merdeka,Sistem Informasi,Administrasi Publik,PRG2-023,0.795,Administrasi Publik|Sistem Informasi|Kesehatan Masyarakat,Administrasi Publik|Sistem Informasi|Kesehatan Masyarakat|Ilmu Gizi|Ilmu Hukum,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000006,SMA,IPS/Soshum,Teknik Sipil,Teknik Sipil,PRG2-009,0.918,Teknik Sipil|Teknik Mesin|Teknik Elektro,Teknik Sipil|Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000007,SMK,Layanan Kesehatan,Matematika,Desain Produk,PRG2-030,0.87,Desain Produk|Arsitektur|Desain Komunikasi Visual,Desain Produk|Arsitektur|Desain Komunikasi Visual|Film dan Televisi|Keperawatan,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000008,SMK,Desain Komunikasi Visual,Psikologi,Statistika,PRG2-012,0.815,Statistika|Sains Data|Farmasi,Statistika|Sains Data|Farmasi|Kimia|Matematika,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000009,SMK,Agribisnis Tanaman/Ternak/Perikanan,Belum yakin,Film dan Televisi,PRG2-031,0.856,Film dan Televisi|Arsitektur|Desain Komunikasi Visual,Film dan Televisi|Arsitektur|Desain Komunikasi Visual|Desain Produk|Agribisnis,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000010,MA,IPS/Soshum,Administrasi Publik,Sistem Informasi,PRG2-002,0.789,Sistem Informasi|Administrasi Publik|Teknik Industri,Sistem Informasi|Administrasi Publik|Teknik Industri|Ilmu Hukum|Agribisnis,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000011,SMA,MIPA/IPA,Belum yakin,Manajemen,PRG2-026,0.944,Manajemen|Bisnis Digital|Teknik Industri,Manajemen|Bisnis Digital|Teknik Industri|Sistem Informasi|Agribisnis,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000012,SMK,Manajemen Perkantoran dan Layanan Bisnis,Arsitektur,Arsitektur,PRG2-010,0.833,Arsitektur|Desain Produk|Desain Komunikasi Visual,Arsitektur|Desain Produk|Desain Komunikasi Visual|Teknik Sipil|Film dan Televisi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000013,SMK,Layanan Kesehatan,Bisnis Digital,Bisnis Digital,PRG2-005,0.873,Bisnis Digital|Manajemen|Keperawatan,Bisnis Digital|Manajemen|Keperawatan|Sistem Informasi|Kesehatan Masyarakat,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000014,MA,MIPA/IPA,Administrasi Publik,Administrasi Publik,PRG2-023,0.969,Administrasi Publik|Psikologi|Keperawatan,Administrasi Publik|Psikologi|Keperawatan|Kesehatan Masyarakat|Pendidikan Dokter,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000015,SMK,Farmasi Klinis dan Komunitas,Pendidikan Bahasa Inggris,Pendidikan Bahasa Inggris,PRG2-025,0.95,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Kesehatan Masyarakat,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Kesehatan Masyarakat|Keperawatan|Pariwisata,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000016,MA,Keagamaan,Belum yakin,Desain Komunikasi Visual,PRG2-029,0.936,Desain Komunikasi Visual|Arsitektur|Desain Produk,Desain Komunikasi Visual|Arsitektur|Desain Produk|Film dan Televisi|Ilmu Komunikasi,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000017,SMK,Teknik Mesin,Pendidikan Bahasa Inggris,Pendidikan Bahasa Inggris,PRG2-025,0.975,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi,Pendidikan Bahasa Inggris|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi|Kesehatan Masyarakat|Psikologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000018,SMK,Pemasaran - Bisnis Digital,Teknik Informatika,Teknik Informatika,PRG2-001,0.889,Teknik Informatika|Sains Data|Teknik Mesin,Teknik Informatika|Sains Data|Teknik Mesin|Teknik Elektro|Teknologi Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000019,SMK,Desain Komunikasi Visual,Belum yakin,Manajemen,PRG2-026,0.679,Manajemen|Desain Komunikasi Visual|Ilmu Komunikasi,Manajemen|Desain Komunikasi Visual|Ilmu Komunikasi|Agribisnis|Bisnis Digital,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000020,SMK,Farmasi Klinis dan Komunitas,Pariwisata,Kesehatan Masyarakat,PRG2-018,0.848,Kesehatan Masyarakat|Keperawatan|Farmasi,Kesehatan Masyarakat|Keperawatan|Farmasi|Pendidikan Guru Sekolah Dasar|Pariwisata,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000021,SMK,Layanan Kesehatan,Keperawatan,Pendidikan Guru Sekolah Dasar,PRG2-024,0.845,Pendidikan Guru Sekolah Dasar|Keperawatan|Pendidikan Bahasa Inggris,Pendidikan Guru Sekolah Dasar|Keperawatan|Pendidikan Bahasa Inggris|Kesehatan Masyarakat|Biologi,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000022,SMK,Teknik Mesin,Desain Komunikasi Visual,Desain Komunikasi Visual,PRG2-029,0.913,Desain Komunikasi Visual|Desain Produk|Arsitektur,Desain Komunikasi Visual|Desain Produk|Arsitektur|Film dan Televisi|Teknik Industri,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000023,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Arsitektur,Kesehatan Masyarakat,PRG2-018,0.826,Kesehatan Masyarakat|Keperawatan|Ilmu Gizi,Kesehatan Masyarakat|Keperawatan|Ilmu Gizi|Pendidikan Guru Sekolah Dasar|Teknologi Informasi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000024,SMA,IPS/Soshum,Kesehatan Masyarakat,Keperawatan,PRG2-017,0.895,Keperawatan|Kesehatan Masyarakat|Psikologi,Keperawatan|Kesehatan Masyarakat|Psikologi|Pendidikan Guru Sekolah Dasar|Pariwisata,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000025,SMK,Pemasaran - Bisnis Digital,Film dan Televisi,Film dan Televisi,PRG2-031,0.888,Film dan Televisi|Arsitektur|Desain Produk,Film dan Televisi|Arsitektur|Desain Produk|Desain Komunikasi Visual|Ilmu Komunikasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000026,SMK,Pengembangan Gim,Bisnis Digital,Teknik Sipil,PRG2-009,0.621,Teknik Sipil|Ilmu Komunikasi|Desain Komunikasi Visual,Teknik Sipil|Ilmu Komunikasi|Desain Komunikasi Visual|Film dan Televisi|Pendidikan Bahasa Inggris,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
