program_id,program_name,jenjang,rumpun_ilmu,bidang_keilmuan,riasec_primary,riasec_secondary,mi_primary,vark_preferred,career_alignment,math_level,coding_level,communication_level,design_level,school_fit,career_examples,keywords,pddikti_reference_status
PRG2-001,Teknik Informatika,S1,Komputer/Informatika,Teknologi,Investigative,Realistic,Logis-Matematis,Kinesthetic,Praktikal,tinggi,tinggi,sedang,rendah,SMA MIPA; SMK RPL/TKJ/SIJA,Software Engineer; Backend Developer; AI Engineer,coding|algoritma|software|komputer|aplikasi,prototype_pddikti_style
PRG2-002,Sistem Informasi,S1,Komputer/Informatika,Teknologi-Bisnis,Conventional,Enterprising,Logis-Matematis,Reading/Writing,Eksekutif,sedang,sedang,tinggi,rendah,SMA IPS/MIPA; SMK RPL/TKJ/Bisnis,Business Analyst; System Analyst; ERP Consultant,sistem informasi|bisnis|analisis sistem|erp|proses bisnis,prototype_pddikti_style
PRG2-003,Sains Data,S1,Komputer/Informatika,Data dan AI,Investigative,Conventional,Logis-Matematis,Visual,Akademik,sangat tinggi,tinggi,sedang,rendah,SMA MIPA; SMK RPL/SIJA,Data Analyst; Data Scientist; ML Engineer,data science|statistika|machine learning|dashboard|analisis data,prototype_pddikti_style
PRG2-004,Teknologi Informasi,S1,Komputer/Informatika,Infrastruktur dan Sistem,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,tinggi,tinggi,sedang,rendah,SMA MIPA; SMK TKJ/SIJA,IT Infrastructure Engineer; Cloud Engineer; Network Engineer,jaringan|server|cloud|infrastruktur|cybersecurity,prototype_pddikti_style
PRG2-005,Bisnis Digital,S1,Bisnis dan Manajemen,Teknologi-Bisnis,Enterprising,Conventional,Interpersonal,Visual,Eksekutif,sedang,sedang,tinggi,sedang,SMA IPS; SMK Bisnis Digital/Pemasaran,Digital Business Analyst; Product Associate; Digital Marketer,bisnis digital|ecommerce|startup|produk digital|marketing,prototype_pddikti_style
PRG2-006,Teknik Elektro,S1,Teknik,Rekayasa,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,tinggi,sedang,sedang,rendah,SMA MIPA; SMK Elektronika/Ketenagalistrikan,Electrical Engineer; IoT Engineer; Automation Engineer,elektro|listrik|elektronika|sensor|iot,prototype_pddikti_style
PRG2-007,Teknik Industri,S1,Teknik,Rekayasa dan Manajemen Operasi,Conventional,Enterprising,Logis-Matematis,Reading/Writing,Eksekutif,tinggi,sedang,tinggi,rendah,SMA MIPA/IPS; SMK Teknik/Bisnis,Industrial Engineer; Supply Chain Analyst; Quality Engineer,proses|produksi|manufaktur|quality|supply chain,prototype_pddikti_style
PRG2-008,Teknik Mesin,S1,Teknik,Rekayasa Mekanik,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,tinggi,rendah,sedang,rendah,SMA MIPA; SMK Teknik Mesin,Mechanical Engineer; Maintenance Engineer; Manufacturing Engineer,mesin|manufaktur|cad|mekanik|produksi,prototype_pddikti_style
PRG2-009,Teknik Sipil,S1,Teknik,Konstruksi dan Infrastruktur,Realistic,Investigative,Visual-Spasial,Visual,Praktikal,tinggi,rendah,sedang,sedang,SMA MIPA; SMK Konstruksi,Civil Engineer; Construction Engineer; Quantity Surveyor,bangunan|konstruksi|struktur|infrastruktur|jalan,prototype_pddikti_style
PRG2-010,Arsitektur,S1,Teknik/Desain,Rancang Bangun,Artistic,Realistic,Visual-Spasial,Visual,Kreatif,sedang,rendah,sedang,tinggi,SMA MIPA/Seni; SMK DPIB/DKV,Architect; Interior Designer; Urban Designer,arsitektur|desain bangunan|ruang|sketsa|visual,prototype_pddikti_style
