school_taxonomy_id,school_type,school_group,school_major_detail,subject_context,recommended_higher_education_area,keywords,notes
SCH-SMA-001,SMA,Umum,MIPA/IPA,"Matematika, Fisika, Kimia, Biologi","Sains, Teknik, Kesehatan, Komputasi",Matematika|Fisika|Kimia|Biologi|Informatika,SMA jalur lama atau sekolah yang masih memakai peminatan
SCH-SMA-002,SMA,Umum,IPS/Soshum,"Ekonomi, Sosiologi, Geografi, Sejarah","Bisnis, Hukum, Komunikasi, Psikologi, Administrasi",Ekonomi|Sosiologi|Geografi|Sejarah,SMA jalur lama atau preferensi mapel sosial-humaniora
SCH-SMA-003,SMA,Umum,Bahasa dan Budaya,"Bahasa Indonesia, Bahasa Inggris, Bahasa asing, Sastra","Bahasa, Komunikasi, Sastra, Hubungan Internasional",Bahasa Indonesia|Bahasa Inggris|Sastra|Public Speaking,SMA jalur lama atau preferensi bahasa
SCH-SMA-004,SMA,Umum,Seni/Kreatif,"Seni Budaya, Desain, Musik, Konten Kreatif","DKV, Desain Produk, Seni, Film, Musik",Seni|Desain|Musik|Kreatif|Konten,Kelompok minat kreatif
SCH-SMA-005,SMA,Umum,Pilihan Campuran Kurikulum Merdeka,"Kombinasi mapel sains, sosial, bahasa, atau seni",Lintas rumpun sesuai kombinasi mapel,Mapel Pilihan|Fase F|Campuran,Untuk siswa kelas XI/XII yang memilih mapel fleksibel
SCH-MA-001,MA,Madrasah Umum,MIPA/IPA,"Matematika, Fisika, Kimia, Biologi, keagamaan","Sains, Kesehatan, Teknik, Pendidikan",Matematika|Biologi|Kimia|Fisika|Keagamaan,Madrasah Aliyah dengan peminatan sains
SCH-MA-002,MA,Madrasah Umum,IPS/Soshum,"Ekonomi, Sosiologi, Sejarah, Keagamaan","Sosial, Hukum, Ekonomi, Pendidikan, Dakwah",Ekonomi|Sosiologi|Sejarah|Keagamaan,Madrasah Aliyah dengan peminatan sosial
SCH-MA-003,MA,Madrasah Umum,Keagamaan,"Ilmu agama, bahasa Arab, studi Islam","Pendidikan Agama, Hukum Keluarga, Komunikasi Penyiaran Islam",Agama|Bahasa Arab|Pendidikan|Sosial,Untuk MA program keagamaan
SCH-SMK-001,SMK,Vokasi,Pengembangan Perangkat Lunak dan Gim - RPL,"Pemrograman, basis data, aplikasi, web, mobile","Teknik Informatika, Sistem Informasi, Sains Data, RPL, Bisnis Digital",Coding|RPL|Web|Mobile|Database|Algoritma,Subset spektrum keahlian SMK/MAK
SCH-SMK-002,SMK,Vokasi,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,"Jaringan, server, troubleshooting, cloud dasar","Teknik Informatika, Teknologi Informasi, Sistem Informasi, Teknik Telekomunikasi",Jaringan|Server|Komputer|Cloud|Cybersecurity,Subset spektrum keahlian SMK/MAK
