utterance_id,utterance,intent_label,language_variant,student_id,school_type,school_major_detail,riasec_primary,riasec_secondary,mi_primary,vark_primary,career_alignment,initial_choice_program,expected_top_programs,source_type,generator_version,utterance_length
UTT2-000001,"Halo kak, abdi bade naros perkawis jurusan kuliah.",sapaan,sunda_umum,STU-000180,SMA,Seni/Kreatif,Conventional,Enterprising,Logis-Matematis,Kinesthetic,Akademik,Teknik Industri,Teknik Industri|Statistika|Sistem Informasi|Ekonomi Pembangunan|Farmasi,synthetic_template,stage10-v2.0,8
UTT2-000002,Tolong jelaskan gambaran umum program studi Teknik Industri.,info_program_studi,id_formal,STU-006562,SMK,Akuntansi dan Keuangan Lembaga,Conventional,Enterprising,Logis-Matematis,Kinesthetic,Eksekutif,Teknik Industri,Teknik Industri|Akuntansi|Sistem Informasi|Statistika|Farmasi,synthetic_template,stage10-v2.0,8
UTT2-000003,Bandingin Agribisnis sama rekomendasi yang lebih cocok buat aku.,bandingkan_pilihan_awal,id_nonformal,STU-000662,SMK,Akuntansi dan Keuangan Lembaga,Realistic,Conventional,Logis-Matematis,Kinesthetic,Praktikal,Agribisnis,Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika|Agroteknologi,synthetic_template,stage10-v2.0,9
UTT2-000004,"Aku lumayan suka membaca dan komunikasi. Menurut sistem, prodi yang pas buat aku apa?",rekomendasi_prodi,id_nonformal,STU-007357,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Realistic,Investigative,Linguistik,Kinesthetic,Praktikal,Teknologi Informasi,Teknologi Informasi|Teknik Informatika|Teknik Mesin|Teknik Elektro|Agroteknologi,synthetic_template,stage10-v2.0,14
UTT2-000005,"Aku masih bingung minatku apa, tapi suka Mapel Pilihan. Bisa dibantu arahin?",klarifikasi_minat,id_nonformal,STU-009768,SMA,Pilihan Campuran Kurikulum Merdeka,Investigative,Conventional,Logis-Matematis,Kinesthetic,Praktikal,Teknik Informatika,Teknik Informatika|Teknik Elektro|Teknik Mesin|Teknologi Informasi|Sains Data,synthetic_template,stage10-v2.0,12
UTT2-000006,Skill awal apa yang sebaiknya saya kuasai sebelum mengambil Sistem Informasi?,skill_awal,id_formal,STU-001546,SMK,Pengembangan Perangkat Lunak dan Gim - RPL,Conventional,Artistic,Logis-Matematis,Reading/Writing,Eksekutif,Ilmu Hukum,Sistem Informasi|Teknik Industri|Akuntansi|Statistika|Sains Data,synthetic_template,stage10-v2.0,11
UTT2-000007,"Aku anak MA jurusan IPS/Soshum, suka anak. Cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,STU-011560,MA,IPS/Soshum,Social,Conventional,Interpersonal,Reading/Writing,Eksekutif,Desain Produk,Administrasi Publik|Psikologi|Pendidikan Guru Sekolah Dasar|Bisnis Digital|Kesehatan Masyarakat,synthetic_template,stage10-v2.0,11
UTT2-000008,"Aku seneng Kesehatan, kira-kira prodi sing cocok kanggo aku apa?",rekomendasi_prodi,jawa_umum,STU-003398,SMK,Farmasi Klinis dan Komunitas,Enterprising,Conventional,Interpersonal,Visual,Eksekutif,Bisnis Digital,Bisnis Digital|Manajemen|Pariwisata|Sistem Informasi|Teknik Industri,synthetic_template,stage10-v2.0,10
UTT2-000009,Saya siswa MA jurusan MIPA/IPA. Saya tertarik pada mesin dan jaringan. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-007073,MA,MIPA/IPA,Realistic,Enterprising,Kinestetik,Visual,Praktikal,Biologi,Teknik Sipil|Teknik Mesin|Teknologi Informasi|Agroteknologi|Teknik Elektro,synthetic_template,stage10-v2.0,16
UTT2-000010,"Aku seneng rumus dan dashboard, kira-kira prodi sing cocok kanggo aku apa?",rekomendasi_prodi,jawa_umum,STU-009373,SMK,Teknik Elektronika,Conventional,Investigative,Logis-Matematis,Visual,Akademik,Sains Data,Sains Data|Statistika|Teknik Industri|Sistem Informasi|Kimia,synthetic_template,stage10-v2.0,12
UTT2-000011,Bagaimana prospek karier dari program studi Ekonomi Pembangunan?,prospek_karier,id_formal,STU-004865,SMA,IPS/Soshum,Investigative,Conventional,Logis-Matematis,Reading/Writing,Akademik,Ekonomi Pembangunan,Ekonomi Pembangunan|Matematika|Farmasi|Pendidikan Dokter|Statistika,synthetic_template,stage10-v2.0,8
UTT2-000012,Lulusan Psikologi biasanya bisa kerja sebagai apa?,prospek_karier,id_nonformal,STU-008612,MA,IPS/Soshum,Social,Investigative,Interpersonal,Auditory,Sosial,Belum yakin,Psikologi|Administrasi Publik|Kesehatan Masyarakat|Pendidikan Guru Sekolah Dasar|Pendidikan Bahasa Inggris,synthetic_template,stage10-v2.0,7
UTT2-000013,Saya awalnya ingin memilih Farmasi. Apakah pilihan itu selaras dengan profil saya?,bandingkan_pilihan_awal,id_formal,STU-004061,SMK,Farmasi Klinis dan Komunitas,Conventional,Artistic,Naturalis,Visual,Akademik,Farmasi,Statistika|Farmasi|Sains Data|Biologi|Ilmu Gizi,synthetic_template,stage10-v2.0,12
UTT2-000014,"Abdi resep komunikasi, kira-kira prodi anu pas kanggo abdi naon?",rekomendasi_prodi,sunda_umum,STU-011216,SMK,Teknik Mesin,Artistic,Enterprising,Interpersonal,Visual,Kreatif,Film dan Televisi,Film dan Televisi|Desain Produk|Desain Komunikasi Visual|Arsitektur|Pendidikan Guru Sekolah Dasar,synthetic_template,stage10-v2.0,10
UTT2-000015,Lulusan Farmasi biasanya bisa kerja sebagai apa?,prospek_karier,id_nonformal,STU-003199,SMK,Pemasaran - Bisnis Digital,Investigative,Realistic,Logis-Matematis,Auditory,Kreatif,Farmasi,Farmasi|Kimia|Statistika|Teknologi Pangan|Sains Data,synthetic_template,stage10-v2.0,7
UTT2-000016,"Abdi resep ilustrasi, kira-kira prodi anu pas kanggo abdi naon?",rekomendasi_prodi,sunda_umum,STU-009246,MA,Keagamaan,Artistic,Enterprising,Visual-Spasial,Visual,Kreatif,Desain Komunikasi Visual,Desain Komunikasi Visual|Arsitektur|Desain Produk|Film dan Televisi|Ilmu Komunikasi,synthetic_template,stage10-v2.0,10
UTT2-000017,Awalnya aku pengin Kimia. Itu cocok nggak sama profilku?,bandingkan_pilihan_awal,id_nonformal,STU-011403,SMK,Layanan Kesehatan,Investigative,Realistic,Logis-Matematis,Kinesthetic,Akademik,Kimia,Kimia|Farmasi|Pendidikan Dokter|Biologi|Statistika,synthetic_template,stage10-v2.0,9
UTT2-000018,"Halo, saya ingin konsultasi tentang pilihan program studi.",sapaan,id_formal,STU-004946,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Artistic,Social,Logis-Matematis,Visual,Akademik,Arsitektur,Statistika|Sains Data|Teknologi Informasi|Arsitektur|Teknik Informatika,synthetic_template,stage10-v2.0,8
UTT2-000019,"Aku lumayan suka data dan sound. Menurut sistem, prodi yang pas buat aku apa?",rekomendasi_prodi,id_nonformal,STU-004680,SMA,Bahasa dan Budaya,Investigative,Realistic,Musik,Visual,Akademik,Statistika,Statistika|Sains Data|Ekonomi Pembangunan|Pendidikan Dokter|Kimia,synthetic_template,stage10-v2.0,14
UTT2-000020,"Kalau aku ambil Film dan Televisi, belajar dari mana dulu ya?",roadmap_belajar,id_nonformal,STU-001714,SMK,Teknik Mesin,Artistic,Enterprising,Visual-Spasial,Visual,Kreatif,Film dan Televisi,Film dan Televisi|Desain Produk|Arsitektur|Desain Komunikasi Visual|Ilmu Komunikasi,synthetic_template,stage10-v2.0,11
UTT2-000021,Saya siswa SMK jurusan Pemasaran - Bisnis Digital. Saya tertarik pada Bisnis Digital. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-006805,SMK,Pemasaran - Bisnis Digital,Artistic,Realistic,Logis-Matematis,Kinesthetic,Akademik,Kimia,Kimia|Farmasi|Ilmu Komunikasi|Teknik Mesin|Teknik Industri,synthetic_template,stage10-v2.0,18
UTT2-000022,Saya ingin bertanya tentang jadwal pertandingan bola malam ini.,fallback,id_formal,STU-000680,SMA,Seni/Kreatif,Investigative,Realistic,Logis-Matematis,Visual,Praktikal,Teknik Informatika,Teknik Informatika|Teknik Mesin|Teknik Elektro|Sains Data|Teknologi Informasi,synthetic_template,stage10-v2.0,9
UTT2-000023,Bandingin Teknik Mesin sama rekomendasi yang lebih cocok buat aku.,bandingkan_pilihan_awal,id_nonformal,STU-010625,SMK,Akuntansi dan Keuangan Lembaga,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,Teknik Mesin,Teknik Mesin|Teknik Elektro|Teknik Informatika|Teknologi Informasi|Teknik Sipil,synthetic_template,stage10-v2.0,10
UTT2-000024,"Aku anak SMK jurusan Teknik Jaringan Komputer dan Telekomunikasi - TKJ, suka edukasi. Cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,STU-005495,SMK,Teknik Jaringan Komputer dan Telekomunikasi - TKJ,Social,Enterprising,Interpersonal,Reading/Writing,Sosial,Kesehatan Masyarakat,Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Ilmu Gizi|Psikologi,synthetic_template,stage10-v2.0,17
UTT2-000025,Aku pengin ngerti rekomendasi game anyar.,fallback,jawa_umum,STU-005669,MA,MIPA/IPA,Realistic,Enterprising,Interpersonal,Kinesthetic,Akademik,Keperawatan,Keperawatan|Kimia|Teknik Mesin|Pendidikan Dokter|Agroteknologi,synthetic_template,stage10-v2.0,6
