output_file,exists,size_bytes
data\taxonomy\school_taxonomy_v2.csv,True,5175
data\taxonomy\program_studi_taxonomy_pddikti_style_v2.csv,True,10786
data\taxonomy\riasec_taxonomy_v2.csv,True,1386
data\taxonomy\multiple_intelligences_taxonomy_v2.csv,True,1550
data\taxonomy\vark_taxonomy_v2.csv,True,1027
data\taxonomy\grit_mindset_taxonomy_v2.csv,True,1523
data\taxonomy\career_alignment_taxonomy_v2.csv,True,1216
models\recommender_scoring_config_v2.json,True,996
reports\stage09\current_project_inventory_stage09.csv,True,2686
reports\stage09\gap_analysis_v1_to_v2.csv,True,2437
reports\stage09\functional_requirements_v2.csv,True,2441
reports\stage09\non_functional_requirements_v2.csv,True,1321
reports\stage09\user_persona_v2.csv,True,2185
reports\stage09\taxonomy_data_dictionary_v2.csv,True,2458
reports\stage09\dataset_schema_v2.csv,True,3332
reports\stage09\sample_scoring_simulation_v2.csv,True,5405
reports\stage09\sample_chatbot_output_blueprint_v2.md,True,2077
