utterance_id,utterance,intent_label,bahasa,register,jenjang_user,kelas,minat_keywords,mapel_favorit,hobi_keywords,gaya_belajar,tujuan_karier_keywords,target_program_id,source_type,confidence_label,catatan,utterance_clean,utterance_normalized,utterance_tokens,utterance_preprocessed,utterance_token_count
UTT010,Saya bingung banget dan belum tahu minat saya apa.,klarifikasi_minat,id_nonformal,nonformal,SMA,11,,,,reflektif,,,seed_manual,0.9,Perlu tanya balik,saya bingung banget dan belum tahu minat saya apa,saya bingung banget dan belum tahu minat saya apa,"[""saya"", ""bingung"", ""banget"", ""dan"", ""belum"", ""tahu"", ""minat"", ""saya"", ""apa""]",bingung tahu minat,3
UTT001,"Saya suka matematika dan ingin bekerja di bidang data, program studi apa yang cocok?",rekomendasi_prodi,id_formal,formal,SMA,12,matematika|data|analisis,Matematika|Informatika,membuat grafik|menganalisis data,logis|analitis,data analyst,PRG003,seed_manual,0.95,Contoh formal,saya suka matematika dan ingin bekerja di bidang data program studi apa yang cocok,saya suka matematika dan ingin bekerja di bidang data program studi apa yang cocok,"[""saya"", ""suka"", ""matematika"", ""dan"", ""ingin"", ""bekerja"", ""di"", ""bidang"", ""data"", ""program"", ""studi"", ""apa"", ""yang"", ""cocok""]",suka matematika kerja bidang data program studi cocok,8
UTT007,Skill awal untuk jadi data analyst itu apa saja?,skill_awal,id_nonformal,nonformal,SMK,12,data|analisis,Matematika,excel|dashboard,praktik,data analyst,PRG003,seed_manual,0.95,Pertanyaan skill,skill awal untuk jadi data analyst itu apa saja,skill awal untuk jadi data analyst itu apa saja,"[""skill"", ""awal"", ""untuk"", ""jadi"", ""data"", ""analyst"", ""itu"", ""apa"", ""saja""]",skill awal data analyst,4
UTT004,"Abdi resep komputer jeung angka, prodi naon nu cocog?",rekomendasi_prodi,sunda_umum,nonformal,SMA,12,komputer|angka,Matematika|Informatika,komputer,logis,software engineer|data analyst,PRG001,seed_manual,0.85,Contoh Sunda umum,abdi resep komputer jeung angka prodi naon nu cocog,abdi suka komputer jeung angka prodi apa nu cocog,"[""abdi"", ""suka"", ""komputer"", ""jeung"", ""angka"", ""prodi"", ""apa"", ""nu"", ""cocog""]",abdi suka komputer angka prodi cocog,6
UTT009,"Halo, saya mau konsultasi jurusan kuliah.",sapaan,id_formal,formal,SMA,12,,,,,,,seed_manual,0.99,Sapaan awal,halo saya mau konsultasi jurusan kuliah,halo saya mau konsultasi program studi kuliah,"[""halo"", ""saya"", ""mau"", ""konsultasi"", ""program"", ""studi"", ""kuliah""]",halo konsultasi program studi kuliah,5
UTT002,"Aku seneng ngoding sama statistik, cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,nonformal,SMK,12,coding|statistik,Matematika|Produktif RPL,ngoding|eksperimen aplikasi,praktik|logis,programmer|data scientist,PRG001,seed_manual,0.9,Contoh non-formal,aku seneng ngoding sama statistik cocoknya kuliah apa ya,saya suka pemrograman sama statistik cocoknya kuliah apa ya,"[""saya"", ""suka"", ""pemrograman"", ""sama"", ""statistik"", ""cocoknya"", ""kuliah"", ""apa"", ""ya""]",suka pemrograman statistik kuliah,4
UTT012,asdf jurusan awan biru kerja apa,fallback,id_nonformal,nonformal,SMA,12,,,,,,,seed_manual,0.7,Contoh fallback sederhana,asdf jurusan awan biru kerja apa,asdf program studi awan biru kerja apa,"[""asdf"", ""program"", ""studi"", ""awan"", ""biru"", ""kerja"", ""apa""]",asdf program studi awan biru kerja,6
UTT006,Lulusan Sistem Informasi biasanya bisa bekerja sebagai apa?,prospek_karier,id_formal,formal,SMA,11,bisnis|teknologi,Ekonomi|Informatika,organisasi|membuat rencana,komunikatif|analitis,business analyst,PRG002,seed_manual,0.95,Pertanyaan karier,lulusan sistem informasi biasanya bisa bekerja sebagai apa,lulusan sistem informasi biasanya bisa bekerja sebagai apa,"[""lulusan"", ""sistem"", ""informasi"", ""biasanya"", ""bisa"", ""bekerja"", ""sebagai"", ""apa""]",lulus sistem informasi biasa kerja,5
UTT011,Bisa bantu buat roadmap belajar selama 6 bulan untuk Sains Data?,roadmap_belajar,id_formal,formal,SMA,12,data|statistik|machine learning,Matematika,analisis data,terstruktur,data scientist,PRG003,seed_manual,0.95,Roadmap Sains Data,bisa bantu buat roadmap belajar selama 6 bulan untuk sains data,bisa bantu buat roadmap belajar selama 6 bulan untuk sains data,"[""bisa"", ""bantu"", ""buat"", ""roadmap"", ""belajar"", ""selama"", ""6"", ""bulan"", ""untuk"", ""sains"", ""data""]",bantu roadmap ajar lama bulan sains data,7
UTT008,Apa perbedaan Teknik Informatika dan Sistem Informasi?,info_program_studi,id_formal,formal,SMA,12,komputer|bisnis,Informatika|Ekonomi,membandingkan jurusan,membaca|analitis,,,seed_manual,0.9,Pertanyaan informasi,apa perbedaan teknik informatika dan sistem informasi,apa perbedaan teknik informatika dan sistem informasi,"[""apa"", ""perbedaan"", ""teknik"", ""informatika"", ""dan"", ""sistem"", ""informasi""]",beda teknik informatika sistem informasi,5
