test_id,scenario_group,user_input,expected_intent,final_intent,intent_correct,routing_source,model_predicted_intent,model_confidence,rule_intent,rule_confidence,routing_confidence,min_routing_confidence,confidence_ok,matched_rule_keywords,processed_text,expected_top_program,actual_top_program,top_program_applicable,top_program_correct,expected_contains,expected_not_contains,response_not_empty,contains_ok,not_contains_ok,response_content_ok,overall_pass,strict_pass,response_length_chars,response_text,runtime_error,notes,overall_status,strict_status,error_type,error_severity,improvement_suggestion
TC001,sapaan,"Halo kak, saya mau tanya tentang pilihan jurusan kuliah.",sapaan,sapaan,True,rule_based,sapaan,0.2121,sapaan,0.6,0.6,0.4,True,halo,halo kak tanya tentang pilihan program studi program studi,,,False,True,Halo;EduPath,Maaf,True,True,True,True,True,True,258,"Halo, saya EduPath Career Assistant. Saya bisa membantu memberikan rekomendasi program studi S1, roadmap belajar awal, prospek karier, dan skill awal berdasarkan minat Anda. Silakan ceritakan minat, mapel favorit, hobi, gaya belajar, atau tujuan karier Anda.",,Mengukur respons awal chatbot terhadap sapaan formal.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC002,sapaan,"Assalamualaikum, boleh tanya rekomendasi kuliah?",sapaan,sapaan,True,rule_based,sapaan,0.1813,sapaan,0.6,0.6,0.4,True,assalamualaikum,assalamualaikum boleh tanya rekomendasi program studi,,,False,True,Halo;rekomendasi,Maaf,True,True,True,True,True,True,258,"Halo, saya EduPath Career Assistant. Saya bisa membantu memberikan rekomendasi program studi S1, roadmap belajar awal, prospek karier, dan skill awal berdasarkan minat Anda. Silakan ceritakan minat, mapel favorit, hobi, gaya belajar, atau tujuan karier Anda.",,Mengukur sapaan bernuansa salam.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC003,rekomendasi_formal,"Saya suka matematika, statistik, data, dan ingin menjadi data scientist. Program studi apa yang cocok?",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.2244,rekomendasi_prodi,1.0,1.0,0.4,True,"program studi, cocok, suka",suka matematika statistik data menjadi data scientist program studi,Sains Data,Sains Data,True,True,rekomendasi;program studi;Catatan,Maaf,True,True,True,True,True,True,1132,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `data, matematika, scientist, statistik, suka`.
   - Skor akhir: 0.4133
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

2. Statistika (S1)
   - Bidang: Statistika Terapan
   - Alasan: cocok dengan keyword `data, matematika, scientist, statistik`.
   - Skor akhir: 0.3566
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Analisis Data Dasar, Statistika Dasar

3. Teknik Informatika (S1)
   - Bidang: Software Engineering dan Komputasi
   - Alasan: cocok dengan keyword `data, matematika, suka`.
   - Skor akhir: 0.1652
   - Prospek karier: Software Engineer
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Algoritma dan Struktur Data Dasar

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Rekomendasi untuk profil data science.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC004,rekomendasi_formal,"Saya tertarik coding, algoritma, komputer, dan membuat aplikasi.",rekomendasi_prodi,fallback,False,fallback_threshold,rekomendasi_prodi,0.2094,,0.0,0.0,0.0,True,,tertarik pemrograman algoritma komputer membuat aplikasi,Teknik Informatika,,True,False,rekomendasi;program studi,Maaf,True,False,False,False,False,False,203,"Maaf, saya belum memahami pertanyaan Anda. Coba jelaskan minat, mata pelajaran favorit, hobi, gaya belajar, atau tujuan karier Anda. Contoh: 'Saya suka matematika dan data, program studi apa yang cocok?'",,Rekomendasi untuk profil software engineering.,FAIL,FAIL/WARNING,Intent Routing Error; Recommendation Mapping Error; Response Content Error,High,"Tambahkan contoh utterance untuk intent terkait dan perkuat rule keyword pada intent routing. Perkaya profil program studi dengan keyword minat, hobi, mapel, dan tujuan karier yang lebih representatif. Perbaiki template respons agar selalu memuat elemen minimum yang diharapkan, seperti catatan, fase, skill, atau deskripsi."
TC005,rekomendasi_formal,"Saya suka proses bisnis, teknologi, analisis kebutuhan, dan ingin menjadi business analyst.",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.1834,rekomendasi_prodi,0.6,0.6,0.0,True,suka,suka proses bisnis teknologi analisis kebutuhan menjadi business analyst,Sistem Informasi,Sistem Informasi,True,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1158,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Sistem Informasi (S1)
   - Bidang: Sistem Bisnis dan Teknologi Informasi
   - Alasan: cocok dengan keyword `analisis, analyst, bisnis, business, kebutuhan, proses, teknologi`.
   - Skor akhir: 0.6156
   - Prospek karier: Business Analyst, Data Analyst
   - Skill awal: Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan

2. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `analisis, analyst, bisnis, suka`.
   - Skor akhir: 0.1928
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

3. Statistika (S1)
   - Bidang: Statistika Terapan
   - Alasan: cocok dengan keyword `analisis, analyst, bisnis`.
   - Skor akhir: 0.1638
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Analisis Data Dasar, Statistika Dasar

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Rekomendasi untuk profil sistem informasi dan business analyst.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC006,rekomendasi_formal,"Saya suka matematika, peluang, statistik, dan analisis angka.",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.2698,rekomendasi_prodi,0.6,0.6,0.0,True,suka,suka matematika peluang statistik analisis angka,,Sains Data,False,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1139,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `analisis, angka, matematika, statistik, suka`.
   - Skor akhir: 0.3436
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

2. Statistika (S1)
   - Bidang: Statistika Terapan
   - Alasan: cocok dengan keyword `analisis, angka, matematika, statistik`.
   - Skor akhir: 0.2974
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Analisis Data Dasar, Statistika Dasar

3. Sistem Informasi (S1)
   - Bidang: Sistem Bisnis dan Teknologi Informasi
   - Alasan: cocok dengan keyword `analisis, matematika`.
   - Skor akhir: 0.1681
   - Prospek karier: Business Analyst, Data Analyst
   - Skill awal: Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Profil statistik dapat mengarah ke Statistika atau Sains Data.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC007,rekomendasi_formal,"Saya suka menggambar, desain visual, membuat konten digital, dan warna.",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.2483,rekomendasi_prodi,0.6,0.6,0.0,True,suka,suka menggambar desain visual membuat konten digital warna,Desain Komunikasi Visual,Desain Komunikasi Visual,True,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1106,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Desain Komunikasi Visual (S1)
   - Bidang: Desain Visual dan Komunikasi Digital
   - Alasan: cocok dengan keyword `desain, digital, konten, membuat, menggambar, visual`.
   - Skor akhir: 0.5416
   - Prospek karier: UI/UX Designer
   - Skill awal: Dasar Desain Visual

2. Teknik Informatika (S1)
   - Bidang: Software Engineering dan Komputasi
   - Alasan: cocok dengan keyword `membuat, suka`.
   - Skor akhir: 0.0964
   - Prospek karier: Software Engineer
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Algoritma dan Struktur Data Dasar

3. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `membuat, suka`.
   - Skor akhir: 0.0938
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Rekomendasi untuk profil desain visual.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC008,rekomendasi_nonformal,"Aku seneng ngoding dan bikin aplikasi, cocok kuliah apa ya?",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.2287,rekomendasi_prodi,1.0,1.0,0.4,True,"program studi, cocok, kuliah apa, suka",suka pemrograman bikin aplikasi program studi,Teknik Informatika,Teknik Informatika,True,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1080,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Teknik Informatika (S1)
   - Bidang: Software Engineering dan Komputasi
   - Alasan: cocok dengan keyword `aplikasi, pemrograman, suka`.
   - Skor akhir: 0.2748
   - Prospek karier: Software Engineer
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Algoritma dan Struktur Data Dasar

2. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `pemrograman, suka`.
   - Skor akhir: 0.1377
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

3. Desain Komunikasi Visual (S1)
   - Bidang: Desain Visual dan Komunikasi Digital
   - Alasan: cocok dengan keyword `aplikasi`.
   - Skor akhir: 0.0669
   - Prospek karier: UI/UX Designer
   - Skill awal: Dasar Desain Visual

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Input non-formal Bahasa Indonesia.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC009,rekomendasi_nonformal,"Aku suka ngolah data, bikin dashboard, sama lihat pola angka.",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.2252,rekomendasi_prodi,0.6,0.6,0.0,True,suka,suka ngolah data bikin dashboard sama lihat pola angka,Sains Data,Sains Data,True,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1108,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `angka, dashboard, data, pola, suka`.
   - Skor akhir: 0.3497
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

2. Statistika (S1)
   - Bidang: Statistika Terapan
   - Alasan: cocok dengan keyword `angka, dashboard, data`.
   - Skor akhir: 0.2326
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Analisis Data Dasar, Statistika Dasar

3. Sistem Informasi (S1)
   - Bidang: Sistem Bisnis dan Teknologi Informasi
   - Alasan: cocok dengan keyword `dashboard, data`.
   - Skor akhir: 0.1443
   - Prospek karier: Business Analyst, Data Analyst
   - Skill awal: Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Input non-formal untuk profil analitik data.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
TC010,bahasa_jawa,"Aku pengin dadi analis data, jurusan sing pas apa?",rekomendasi_prodi,rekomendasi_prodi,True,rule_based,rekomendasi_prodi,0.1643,rekomendasi_prodi,0.8,0.8,0.4,True,"program studi, jurusan",menjadi analis data program studi,Sains Data,Sains Data,True,True,rekomendasi;program studi,Maaf,True,True,True,True,True,True,1072,"Berikut rekomendasi awal program studi berdasarkan profil yang Anda sampaikan:

1. Sains Data (S1)
   - Bidang: Data Science dan Analitik
   - Alasan: cocok dengan keyword `analis, data`.
   - Skor akhir: 0.2332
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar

2. Statistika (S1)
   - Bidang: Statistika Terapan
   - Alasan: cocok dengan keyword `analis, data`.
   - Skor akhir: 0.2173
   - Prospek karier: Data Analyst, Data Scientist
   - Skill awal: Analisis Data Dasar, Statistika Dasar

3. Sistem Informasi (S1)
   - Bidang: Sistem Bisnis dan Teknologi Informasi
   - Alasan: cocok dengan keyword `analis, data`.
   - Skor akhir: 0.194
   - Prospek karier: Business Analyst, Data Analyst
   - Skill awal: Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan

Catatan: rekomendasi ini bersifat awal dan sebaiknya divalidasi kembali dengan minat, nilai akademik, portofolio, serta konsultasi dengan guru BK atau pembimbing akademik.",,Input Bahasa Jawa umum untuk data analyst.,PASS,PASS,OK,OK,Tidak diperlukan perbaikan khusus.
